ticker,company name,sector,sub-industry,date first added,newsDateLength
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,1969-03-31,106
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,2013-06-06,22
GPC,Genuine Parts,Consumer Discretionary,Specialty Stores,1973-12-31,323
GILD,Gilead Sciences,Health Care,Biotechnology,2004-07-01,49
GL,Globe Life Inc.,Financials,Life & Health Insurance,1989-04-30,504
GPN,Global Payments Inc.,Information Technology,Data Processing & Outsourced Services,2016-04-25,243
GS,Goldman Sachs Group,Financials,Investment Banking & Brokerage,2002-07-22,28
GWW,Grainger (W.W.) Inc.,Industrials,Industrial Machinery,1981-06-30,343
HAL,Halliburton Co.,Energy,Oil & Gas Equipment & Services,1957-03-04,148
HBI,Hanesbrands Inc,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2015-03-20,127
HIG,Hartford Financial Svc.Gp.,Financials,Property & Casualty Insurance,1957-03-04,283
HAS,Hasbro Inc.,Consumer Discretionary,Leisure Products,1984-09-30,134
HCA,HCA Healthcare,Health Care,Health Care Facilities,2015-01-27,197
PEAK,Healthpeak Properties,Real Estate,Health Care REITs,2008-03-31,462
HSIC,Henry Schein,Health Care,Health Care Distributors,2015-03-17,319
HSY,The Hershey Company,Consumer Staples,Packaged Foods & Meats,1957-03-04,190
HES,Hess Corporation,Energy,Integrated Oil & Gas,1984-05-31,258
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",2015-11-02,118
HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2017-06-19,120
HFC,HollyFrontier Corp,Energy,Oil & Gas Refining & Marketing,2018-06-18,292
HOLX,Hologic,Health Care,Health Care Equipment,2016-03-30,52
HD,Home Depot,Consumer Discretionary,Home Improvement Retail,1988-03-31,49
HON,Honeywell Int'l Inc.,Industrials,Industrial Conglomerates,1964-03-31,68
HRL,Hormel Foods Corp.,Consumer Staples,Packaged Foods & Meats,2009-03-04,126
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,2007-03-20,334
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,1964-03-31,267
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",1974-12-31,28
HUM,Humana Inc.,Health Care,Managed Health Care,,99
HBAN,Huntington Bancshares,Financials,Regional Banks,,212
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,2018-01-03,229
IEX,IDEX Corporation,Industrials,Industrial Machinery,2019-08-09,347
IDXX,IDEXX Laboratories,Health Care,Health Care Equipment,2017-01-05,148
INFO,IHS Markit Ltd.,Industrials,Research & Consulting Services,2017-06-02,100
ITW,Illinois Tool Works,Industrials,Industrial Machinery,1986-02-28,258
