ticker,company name,sector,sub-industry,date first added,newsDateLength
WFC,Wells Fargo,Financials,Diversified Banks,1976-06-30,36
WELL,Welltower Inc.,Real Estate,Health Care REITs,2009-01-30,284
WST,West Pharmaceutical Services,Health Care,Health Care Supplies,2020-05-22,175
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",2009-07-01,166
WU,Western Union Co,Information Technology,Data Processing & Outsourced Services,2006-09-29,209
WRK,WestRock,Materials,Paper Packaging,,358
WY,Weyerhaeuser,Real Estate,Specialized REITs,,310
WHR,Whirlpool Corp.,Consumer Discretionary,Household Appliances,,133
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,1975-03-31,223
WLTW,Willis Towers Watson,Financials,Insurance Brokers,2016-01-05,146
WYNN,Wynn Resorts Ltd,Consumer Discretionary,Casinos & Gaming,2008-11-14,154
XEL,Xcel Energy Inc,Utilities,Multi-Utilities,1957-03-04,287
XRX,Xerox,Information Technology,"Technology Hardware, Storage & Peripherals",,276
XLNX,Xilinx,Information Technology,Semiconductors,1999-11-08,71
XYL,Xylem Inc.,Industrials,Industrial Machinery,2011-11-01,348
YUM,Yum! Brands Inc,Consumer Discretionary,Restaurants,1997-10-06,87
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,2019-12-23,248
ZBH,Zimmer Biomet,Health Care,Health Care Equipment,2001-08-07,307
ZION,Zions Bancorp,Financials,Regional Banks,2001-06-22,433
ZTS,Zoetis,Health Care,Pharmaceuticals,2013-06-21,244
